Rollup By Lookup Filter Criteria,FinServ__RollupByLookupFilterCriteria__c
Securities,FinServ__Securities__c
Use Person Account,FinServ__UsePersonAccount__c
Wealth Application Config,FinServ__WealthAppConfig__c
Individual Excluded Fields,FinServ__individualExcludedFields__c
Fiscal Year Settings,FiscalYearSettings
Flex Queue Item,FlexQueueItem
Flow Interview,FlowInterview
Flow Interview Share,FlowInterviewShare
Folder,Folder
Foldered Content Document,FolderedContentDocument
Forecast Share,ForecastShare
Forecasting Adjustment,ForecastingAdjustment
Forecasting Category Mapping,ForecastingCategoryMapping
Forecasting Displayed Family,ForecastingDisplayedFamily
Forecasting Fact,ForecastingFact
Forecasting Item,ForecastingItem
Forecasting Owner Adjustment,ForecastingOwnerAdjustment
Forecasting Quota,ForecastingQuota
Forecasting Type,ForecastingType
Forecasting Type To Category Mapping,ForecastingTypeToCategory
Forecasting User Preference,ForecastingUserPreference
Setting Granted By License,GrantedByLicense
Group,Group
Group Member,GroupMember
Holiday,Holiday
Idea,Idea
Idea Comment,IdeaComment
Identity Provider Event Log,IdpEventLog
External Data,InsightsExternalData
External Data Part,InsightsExternalDataPart
Installed Mobile App,InstalledMobileApp
Knowledgeable User,KnowledgeableUser
Lead and Referral,Lead
Lead Feed,LeadFeed
Lead and Referral History,LeadHistory
Lead Share,LeadShare
Lead Status Value,LeadStatus
List Email,ListEmail
List Email Recipient Source,ListEmailRecipientSource
List Email Share,ListEmailShare
List View,ListView
List View Chart,ListViewChart
List View Chart Instance,ListViewChartInstance
Login Geo Data,LoginGeo
Login History,LoginHistory
Login IP,LoginIp
Lookups from Activity,LookedUpFromActivity
Macro,Macro
Macro History,MacroHistory
Macro Instruction,MacroInstruction
Macro Share,MacroShare
Mail Merge Template,MailmergeTemplate
Matching Rule,MatchingRule
Matching Rule Item,MatchingRuleItem
Name,Name
Named Credential,NamedCredential
Note,Note
Note and Attachment,NoteAndAttachment
Oauth Token,OauthToken
Object Permissions,ObjectPermissions
Open Activity,OpenActivity
Opportunity,Opportunity
Opportunity: Competitor,OpportunityCompetitor
Opportunity Contact Role,OpportunityContactRole
Opportunity Feed,OpportunityFeed
Opportunity Field History,OpportunityFieldHistory
Opportunity History,OpportunityHistory
Opportunity Product,OpportunityLineItem
Opportunity Partner,OpportunityPartner
Opportunity Share,OpportunityShare
Opportunity Stage,OpportunityStage
Order,Order
Order Feed,OrderFeed
Order History,OrderHistory
Order Product,OrderItem
Order Product Feed,OrderItemFeed
Order Product History,OrderItemHistory
Order Share,OrderShare
Org Lifecycle Notification,OrgLifecycleNotification
Organization-wide From Email Address,OrgWideEmailAddress
Organization,Organization
Outgoing Email,OutgoingEmail
Outgoing Email Relation,OutgoingEmailRelation
User Owned File,OwnedContentDocument
Change Owner Option Info,OwnerChangeOptionInfo
Package License,PackageLicense
Partner,Partner
Partner Role Value,PartnerRole
Period,Period
Permission Set,PermissionSet
Permission Set Assignment,PermissionSetAssignment
Permission Set License,PermissionSetLicense
Permission Set License Assignment,PermissionSetLicenseAssign
Picklist Value Info,PicklistValueInfo
Platform Action,PlatformAction
Platform Cache Partition,PlatformCachePartition
Platform Cache Partition Type,PlatformCachePartitionType
Price Book,Pricebook2
Price Book History,Pricebook2History
Price Book Entry,PricebookEntry
Process Definition,ProcessDefinition
Process Instance,ProcessInstance
Process Instance History,ProcessInstanceHistory
Process Instance Node,ProcessInstanceNode
Process Instance Step,ProcessInstanceStep
Approval Request,ProcessInstanceWorkitem
Process Node,ProcessNode
Product,Product2
Product Feed,Product2Feed
Product History,Product2History
Profile,Profile
Skill,ProfileSkill
Endorsement,ProfileSkillEndorsement
Endorsement Feed,ProfileSkillEndorsementFeed
Endorsement History,ProfileSkillEndorsementHistory
Skill Feed,ProfileSkillFeed
Skill History,ProfileSkillHistory
Skill Share,ProfileSkillShare
Skill User,ProfileSkillUser
Skill User Feed,ProfileSkillUserFeed
Skill User History,ProfileSkillUserHistory
Publisher,Publisher
Push Topic,PushTopic
Queue Sobject,QueueSobject
Quick Text,QuickText
Quick Text History,QuickTextHistory
Quick Text Share,QuickTextShare
Quote,Quote
Quote PDF,QuoteDocument
Quote Feed,QuoteFeed
Quote Line Item,QuoteLineItem
Quote Share,QuoteShare
Quote Template Rich Text Data,QuoteTemplateRichTextData
Recently Viewed,RecentlyViewed
Record Type,RecordType
Relationship Domain,RelationshipDomain
Relationship,RelationshipInfo
Report,Report
Report Feed,ReportFeed
SAML Single Sign-On Setting,SamlSsoConfig
Custom S-Control,Scontrol
SearchActivity,SearchActivity
Search Layout,SearchLayout
Secure Agent Cluster,SecureAgentsCluster
Security Custom Baseline,SecurityCustomBaseline
Session Permission Set Activation,SessionPermSetActivation
Setup Audit Trail Entry,SetupAuditTrail
Setup Entity Access,SetupEntityAccess
Site,Site
Site,SiteFeed
Site History,SiteHistory
Solution,Solution
Solution Feed,SolutionFeed
Solution History,SolutionHistory
Solution Status Value,SolutionStatus
Stamp,Stamp
Stamp Assignment,StampAssignment
Static Resource,StaticResource
Streaming Channel,StreamingChannel
Streaming Channel Share,StreamingChannelShare
Task,Task
Task Feed,TaskFeed
Task Priority Value,TaskPriority
Task Relation,TaskRelation
Task Status Value,TaskStatus
Task Who Relation,TaskWhoRelation
Tenant Usage Entitlement,TenantUsageEntitlement
Test Suite Membership,TestSuiteMembership
Third Party Account Link,ThirdPartyAccountLink
Goal,TodayGoal
Goal Share,TodayGoalShare
Topic,Topic
Record,TopicAssignment
Topic Feed,TopicFeed
Undecided Event Relation,UndecidedEventRelation
User,User
Last Used App,UserAppInfo
UserAppMenuCustomization,UserAppMenuCustomization
UserAppMenuCustomization Share,UserAppMenuCustomizationShare
Application,UserAppMenuItem
User Entity Access,UserEntityAccess
User Feed,UserFeed
User Field Access,UserFieldAccess
User License,UserLicense
User List View,UserListView
User List View Criteria,UserListViewCriterion
User Login,UserLogin
User Package License,UserPackageLicense
User Permission Access,UserPermissionAccess
User Preference,UserPreference
User Provisioning Account,UserProvAccount
User Provisioning Account Staging,UserProvAccountStaging
User Provisioning Mock Target,UserProvMockTarget
User Provisioning Config,UserProvisioningConfig
User Provisioning Log,UserProvisioningLog
User Provisioning Request,UserProvisioningRequest
User Provisioning Request Share,UserProvisioningRequestShare
User Record Access,UserRecordAccess
Role,UserRole
User Share,UserShare
Identity Verification History,VerificationHistory
Visualforce Access Metric,VisualforceAccessMetrics
Vote,Vote
Wave Asset Event,WaveAssetEvent
Wave Compatibility Check Item,WaveCompatibilityCheckItem
Custom Button or Link,WebLink
Access,WorkAccess
Access Share,WorkAccessShare
Badge Received,WorkBadge
Badge,WorkBadgeDefinition
Badge Feed,WorkBadgeDefinitionFeed
Badge History,WorkBadgeDefinitionHistory
Badge Share,WorkBadgeDefinitionShare
Thanks,WorkThanks
Thanks Share,WorkThanksShare
